Fecha Hora Inicio,Fecha Hora Termino,Duracion,Instalación,Proceso,Turno,Motivo (Seleccione de la Lista),Responsable,Falla,Impevisto,Tiempo perdido,¿Qué pasó? (Efecto),¿Por qué pasó? (Causa),¿Cómo se resolvió? (Acciones),¿Qué Paso?,¿Por qué Paso?:,¿Cómo se Resolvió?
2023-05-29 03:20:00,2023-05-29 03:45:00,00:25:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P Madera L3,A,Retiro de Metal (Int.) (P Madera L3),  Operaciones,,N,S,,,,,,
2023-05-29 01:30:00,2023-05-29 02:30:00,01:00:00,210-21-209  ASTILLADOR L3,P Madera L3,A,Cambios de Cuchillo (P Madera L3),  Operaciones,,N,S,,,,,,
2023-05-28 22:30:00,2023-05-28 22:50:00,00:20:00,210-21-703/1/1  DESCORTEZADOR L3,P Madera L3,C,Otros (Int.) (P Madera L3),  Operaciones,,N,S,Rotabarker 703/1-2 inversiones tiempo acumulativo.,,,,,
2023-05-28 20:40:00,2023-05-28 21:10:00,00:30:00,210-25-701A/1/1  CUBIERTA RECEPCION DE TRONCOS L3,P Madera L3,C,En Panne Grúa Alimentación (Ext.) (P Madera L3),  Operaciones,,N,S,,,,,,
2023-05-28 19:30:00,2023-05-28 19:50:00,00:20:00,210-25-385  CINTA TRANSPORTADORA DE CORTEZA L3,P Madera L3,C,Retiro de Metal (Int.) (P Madera L3),  Operaciones,,N,S,,,,,,
2023-05-28 15:15:00,2023-05-28 15:35:00,00:20:00,210-25-206  CINTA ALIMENTACION ASTILLADOR L3,P Madera L3,B,Otros (Int.) (P Madera L3),  Operaciones,,S,S,Se realiza centrado de cinta 206.,,,,,
2023-05-28 14:00:00,2023-05-28 15:00:00,01:00:00,210-21-209  ASTILLADOR L3,P Madera L3,B,Cambios de Cuchillo (P Madera L3),  Operaciones,,N,S,,,,,,
2023-05-28 12:00:00,2023-05-28 12:30:00,00:30:00,210-25-391  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L3,B,Trabamiento Cinta (Int.) (P Madera L3),  Operaciones,,S,S,,,,,,
2023-05-28 05:40:00,2023-05-28 07:30:00,01:50:00,210-25-727/1/1  TRANSPORTADOR DE CADENA DESAGUE L4,P Madera L3,A,Taco de Corteza en Rastra (Int.) (P Madera L3),  Operaciones,,N,S,Rastra 210-25-727 trabada con corteza ; trozos trabados en contrapeso,,,,,
2023-05-28 05:10:00,2023-05-28 05:20:00,00:10:00,210-21-391  PICADOR DE CORTEZA N° 2,P Madera L3,A,Trabamiento de Rodillo (Int.) (P Madera L3),  Operaciones,,N,S,Trabamiento en grupo rodillos 210-21-391/2 del Picador de Corteza 210-21-390. Rodillos trabados con trozo ; se retira.,,,,,
2023-05-28 04:35:00,2023-05-28 04:50:00,00:15:00,210-25-701A/1/1  CUBIERTA RECEPCION DE TRONCOS L3,P Madera L3,A,En Panne Grúa Alimentación (Ext.) (P Madera L3),  Operaciones,,N,S,"Grúa alimentación se encuentra en panne ; se cambia por otro equipo.

",,,,,
2023-05-28 03:10:00,2023-05-28 04:10:00,01:00:00,210-21-209  ASTILLADOR L3,P Madera L3,A,Cambios de Cuchillo (P Madera L3),  Operaciones,,N,S,,,,,,
2023-05-28 02:00:00,2023-05-28 02:20:00,00:20:00,210-21-703/1/1  DESCORTEZADOR L3,P Madera L3,A,Otros (Int.) (P Madera L3),  Operaciones,,N,N,"Auto inversiones de limpieza del RTBK 210-21-703 por alto torque
",,,,,
2023-05-28 00:40:00,2023-05-28 00:40:00,00:00:00,210-20-207  DETECTOR DE METALES,P Madera L3,A,Prueba de Equipo (P Madera L3),  Operaciones,,N,N,,,,,,
2023-05-27 21:40:00,2023-05-27 22:00:00,00:20:00,210-21-212  CLASIFICADOR DE DISCOS,P Madera L3,C,Limpieza Scalper (Int.) (P Madera L3),  Operaciones,,S,S,,,,,,
2023-05-27 17:30:00,2023-05-27 18:30:00,01:00:00,210-21-209  ASTILLADOR L3,P Madera L3,C,Cambios de Cuchillo (P Madera L3),  Operaciones,,N,S,,,,,,
2023-05-27 14:30:00,2023-05-27 15:15:00,00:45:00,210-25-390  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L3,B,Limpieza Estructuras (Int.) (P Madera L3),  Operaciones,,N,S,Se realiza inspeccion y limpieza de estructura y cinta 210-21-390/4,,,,,
2023-05-27 13:00:00,2023-05-27 14:00:00,01:00:00,210-25-390  CINTA DE ALIMENTACION PICADOR CORTEZ N,P Madera L3,B,Patinamiento de Cinta (P Madera L3),    Mecánica,,N,S,"Trabamiento de cinta, tiempo acumulado durante el turno.-",,,,,
